title,link
ConnectWise.ScreenConnect.SetupModule.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54714
Adobe.Acrobat.Reader.CVE-2024-20729.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/54653
WordPress.Plugin.HTML5.Video.Player.get_view.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/54636
Voltronic.Power.ViewPower.updateManager.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54598
Home.Assistant.Repetier.Server.views.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/54567
D-Link.DAP-1860.HNAP_AUTH.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54526
MS.Windows.WinSock.CVE-2023-35632.Elevation.of.Privilege,https://www.fortiguard.com/encyclopedia/ips/54495
Apache.httpd.mod_http2.CVE-2016-8740.DoS,https://www.fortiguard.com/encyclopedia/ips/54404
Adobe.Acrobat.Reader.CVE-2023-44338.Out.of.Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/54360
MS.Office.CVE-2023-36413.Security.Feature.Bypass,https://www.fortiguard.com/encyclopedia/ips/54319
